Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J2098	0	2	10	13	18	23	25	36	38	41	53	60	62	64	68	71	76	83	93	94
J2099	1	4	19	28	29	31	32	38	40	42	43	46	59	64	80	84	85	86	90	99
J2100	9	11	12	18	26	38	39	42	48	49	63	67	70	72	74	77	82	87	93	97
J2101	1	6	8	11	12	13	20	22	23	34	36	39	53	56	60	73	86	88	92	98
J2102	0	4	8	11	15	18	27	32	37	39	43	44	59	61	62	70	80	85	90	91
J2103	2	13	21	32	35	38	39	49	63	65	71	73	77	78	81	88	92	93	94	98
J2104	9	15	19	21	23	24	37	39	46	62	63	64	66	69	74	80	90	91	97	98
J2105	7	9	12	13	22	29	35	36	37	39	41	50	52	54	57	81	87	90	92	96
J2106	7	10	11	16	22	31	34	36	41	45	48	49	65	78	82	83	84	86	87	94
J2107	4	10	11	12	16	20	24	36	48	55	59	60	64	67	72	75	79	82	88	96
J2108	1	4	7	9	14	17	18	22	25	30	42	48	50	52	57	59	65	70	71	96
J2109	7	9	15	17	26	27	30	39	43	47	51	53	54	57	73	82	89	94	97	99
J2110	2	4	6	8	14	16	26	29	34	54	61	64	68	71	73	77	81	93	94	96
J2111	5	12	15	17	39	42	43	46	51	64	65	72	75	77	82	86	87	94	97	99
J2112	4	17	23	25	31	36	38	40	42	52	56	59	71	78	82	83	84	92	97	98
J2113	9	14	20	25	26	33	35	36	49	50	55	58	59	66	71	75	76	87	94	99
J2114	4	5	10	13	23	24	25	29	37	40	43	44	46	49	54	56	65	93	98	99
J2115	4	7	8	11	15	17	19	20	24	32	36	41	43	44	46	48	60	76	78	86
J2116	0	2	5	7	14	20	23	39	44	48	50	63	64	78	80	81	82	83	90	94
J2117	5	22	30	34	35	39	44	49	55	58	68	75	76	78	84	85	88	94	95	96
J2118	0	2	10	12	16	19	46	51	52	57	64	71	72	75	80	81	82	84	88	99
J2119	1	4	7	9	12	13	19	23	32	33	43	44	48	64	78	79	82	88	89	91
J2120	0	1	7	9	10	11	15	24	50	51	52	59	60	64	75	77	78	95	98	99
J2121	0	2	14	20	23	24	37	38	43	49	54	71	75	76	80	87	90	93	94	98
J2122	3	5	6	8	11	12	16	23	30	32	38	39	47	54	57	64	70	71	74	76
J2123	1	6	14	15	22	31	41	53	54	56	62	65	67	70	71	73	75	78	81	83
J2124	8	13	19	22	29	32	33	45	47	49	56	57	65	70	75	82	87	89	91	99
J2125	2	5	9	15	19	25	31	35	41	45	47	49	50	52	55	59	66	67	83	94
J2126	2	4	9	24	26	44	46	52	54	55	56	62	63	65	68	84	90	91	97	98
J2127	0	1	2	11	12	29	33	37	40	48	49	50	52	53	61	70	72	75	82	96
J2128	3	6	8	20	22	25	28	35	36	43	44	50	54	61	66	70	73	86	96	97
J2129	3	5	16	28	30	35	36	41	49	51	53	57	58	68	69	70	72	79	93	96
J2130	0	4	16	29	30	32	40	48	50	57	66	70	80	84	85	86	92	93	94	99
J2131	2	14	16	20	22	32	33	36	42	45	54	59	60	74	75	76	80	86	87	88
J2132	3	4	9	13	19	28	30	31	36	58	62	71	73	74	78	89	90	95	97	98
J2133	2	4	7	10	12	13	21	22	25	27	41	47	53	68	75	79	81	83	86	91
J2134	0	1	2	14	17	20	28	29	30	33	38	42	52	61	64	66	81	84	88	97
J2135	2	23	33	35	40	42	49	53	55	57	59	62	63	65	68	73	77	87	93	94
